25,43
76,37
89,83
73,27
99,61
55,91
68,57
47,82
48,73
6,98
38,10
70,94
51,71
12,23
79,19
56,18
6,69
82,25
12,17
3,52
5,86
85,93
3,50
38,87
30,32
60,32
61,54
9,20
21,89
35,81
14,88
63,59
82,49
85,54
37,98
18,68
100,29
60,35
48,36
64,74
11,52
87,30
11,11
26,87
71,74
30,26
5,6
33,41
4,32
92,86
64,41
40,67
51,96
47,49
30,56
1,95
57,30
56,11
24,99
89,95
87,24
7,10
90,16
2,85
99,94
86,49
65,89
50,87
61,71
52,51
96,18
3,86
39,95
91,55
56,45
33,12
85,91
79,5
82,92
72,30
35,55
58,75
50,48
84,5
17,73
11,72
30,100
93,45
19,9
5,73
57,93
20,93
15,89
55,38
21,42
57,99
55,5
17,70
84,85
84,21
